# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.012573	43.109934
0.017658	110.347392
0.021441	55.806564
0.024800	46.592795
0.027327	105.494887
0.030112	140.601089
0.034831	116.951322
0.036562	117.299851
0.038380	100.989718
0.040288	142.629807
0.042291	91.913735
0.044394	116.382819
0.046601	111.602538
0.048918	90.135099
0.051350	90.579562
0.053903	116.442221
0.056582	91.212774
0.059395	110.511005
0.062348	123.821831
0.065448	108.811679
0.068702	115.142233
0.072118	123.140726
0.075703	90.920392
0.079467	111.373916
0.083418	140.253325
0.087565	107.641302
0.091918	96.497523
0.096488	89.377211
0.101285	94.984062
0.106321	101.313406
0.111607	85.913565
0.117155	93.926164
0.122980	85.210887
0.129094	88.088324
0.135512	73.957407
0.142250	68.730641
0.149322	70.017942
0.156746	65.621759
0.164538	63.372467
0.172719	56.211378
0.181306	51.543019
0.190320	49.325531
0.199782	44.925251
0.209714	39.497002
0.220140	38.816817
0.231085	34.032628
0.242574	30.480081
0.254634	25.833393
0.267293	23.273037
0.280582	21.105953
0.294532	18.255237
0.309175	16.007393
0.324546	13.330724
0.340682	11.344007
0.357619	9.460574
0.375399	8.040976
0.394062	6.578672
0.413654	5.511971
0.434219	4.532467
0.455807	3.823079
0.478469	3.106207
0.502256	2.557098
0.527227	2.080435
0.553439	1.707823
0.580954	1.383569
0.609837	1.151667
0.640156	0.957893
0.671983	0.810067
0.705392	0.702265
0.740461	0.629886
0.777275	0.594462
0.815918	0.499191
0.856483	0.413611
0.899064	0.367773
0.943763	0.345870
0.990684	0.349993
1.039937	0.382491
1.091639	0.416495
1.145912	0.439235
1.202883	0.541671
1.262686	0.742037
1.325463	1.106743
1.391360	0.145282
