# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.004322	317.756164
0.005903	540.321561
0.007118	1553.275309
0.008583	1054.948529
0.009136	1621.199563
0.010350	1075.500899
0.011725	2100.070915
0.012480	1609.154558
0.013283	1213.262640
0.014138	1954.976429
0.015048	1646.088398
0.016017	2176.708506
0.017048	1810.628637
0.018145	2030.039987
0.019313	1932.699333
0.020557	1879.147249
0.021880	2047.487089
0.023288	2186.879371
0.024787	2177.467174
0.026383	2750.816066
0.028081	2388.660175
0.029889	2635.189076
0.031813	3081.361229
0.033861	2472.432612
0.036040	3217.259607
0.038360	3123.173865
0.040829	2954.566516
0.043458	2845.159241
0.046255	3119.109440
0.049232	3101.505856
0.052401	3194.792221
0.055774	3105.600863
0.059365	3357.052005
0.063186	3187.425676
0.067253	3219.088935
0.071582	3364.236516
0.076190	3143.410546
0.081095	3098.808682
0.086315	3111.098220
0.091871	3040.390681
0.097784	2936.261793
0.104079	2923.780260
0.110778	2826.638063
0.117909	2815.415507
0.125499	2703.803033
0.133578	2586.235922
0.142176	2526.172491
0.151328	2446.010647
0.161069	2335.980982
0.171437	2222.806609
0.182472	2104.300380
0.194218	1991.135403
0.206720	1880.072445
0.220027	1769.549748
0.234190	1662.114214
0.249265	1548.755394
0.265310	1460.417343
0.282388	1353.533121
0.300565	1260.276836
0.319913	1168.448267
0.340505	1077.179482
0.362424	996.815195
0.385753	920.677424
0.410584	850.039372
0.437013	778.310195
0.465144	714.576601
0.495085	655.226072
0.526954	599.176795
0.560874	547.182270
0.596978	498.460230
0.635405	453.977156
0.676307	412.445802
0.719841	373.693063
0.766177	338.866920
0.815496	307.127036
0.867989	279.999533
0.923862	256.896920
0.983331	240.491575
1.046628	232.731706
1.114000	224.057343
1.185708	211.825463
1.262033	203.801079
1.343270	203.013035
1.429737	213.066210
1.521769	222.988187
1.619726	234.200564
1.723988	285.915734
1.834961	398.428172
