# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.004322	-0.136487
0.005903	-0.136703
0.007118	-0.137679
0.008583	-0.136702
0.009136	-0.136424
0.010350	-0.137245
0.011725	-0.136561
0.012480	-0.136744
0.013283	-0.137263
0.014138	-0.134766
0.015048	-0.135829
0.016017	-0.138281
0.017048	-0.137284
0.018145	-0.136890
0.019313	-0.138314
0.020557	-0.139690
0.021880	-0.136732
0.023288	-0.137881
0.024787	-0.139641
0.026383	-0.136671
0.028081	-0.141262
0.029889	-0.138023
0.031813	-0.139284
0.033861	-0.138712
0.036040	-0.142902
0.038360	-0.139389
0.040829	-0.142171
0.043458	-0.143010
0.046255	-0.143412
0.049232	-0.143950
0.052401	-0.145891
0.055774	-0.144215
0.059365	-0.146616
0.063186	-0.148827
0.067253	-0.149847
0.071582	-0.153602
0.076190	-0.152080
0.081095	-0.155933
0.086315	-0.158441
0.091871	-0.162973
0.097784	-0.162896
0.104079	-0.169236
0.110778	-0.172486
0.117909	-0.173766
0.125499	-0.181160
0.133578	-0.183585
0.142176	-0.188841
0.151328	-0.197308
0.161069	-0.203957
0.171437	-0.209523
0.182472	-0.217619
0.194218	-0.228161
0.206720	-0.237581
0.220027	-0.250430
0.234190	-0.261336
0.249265	-0.275980
0.265310	-0.290485
0.282388	-0.305833
0.300565	-0.323976
0.319913	-0.343458
0.340505	-0.365615
0.362424	-0.387235
0.385753	-0.411010
0.410584	-0.437185
0.437013	-0.465287
0.465144	-0.494991
0.495085	-0.527082
0.526954	-0.560507
0.560874	-0.595374
0.596978	-0.631314
0.635405	-0.668134
0.676307	-0.704729
0.719841	-0.741632
0.766177	-0.776570
0.815496	-0.809722
0.867989	-0.839599
0.923862	-0.865951
0.983331	-0.887429
1.046628	-0.903882
1.114000	-0.922500
1.185708	-0.939318
1.262033	-0.951078
1.343270	-0.959324
1.429737	-0.965187
1.521769	-0.972101
1.619726	-0.978397
1.723988	-0.980702
1.834961	-0.980741
