# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.002161	0.000078
0.002952	-0.000501
0.003559	0.000077
0.004292	-0.000025
0.004568	-0.000104
0.005175	0.000154
0.005863	-0.000701
0.006240	0.000594
0.006642	0.000286
0.007069	-0.000164
0.007524	-0.000469
0.008009	-0.001041
0.008524	-0.000682
0.009073	-0.000700
0.009657	-0.001363
0.010278	-0.001155
0.010940	-0.001346
0.011644	-0.000496
0.012394	-0.001033
0.013191	-0.000425
0.014041	-0.002237
0.014944	-0.001535
0.015906	-0.002432
0.016930	-0.001818
0.018020	-0.002113
0.019180	-0.003058
0.020415	-0.002083
0.021729	-0.003000
0.023127	-0.003712
0.024616	-0.004127
0.026201	-0.003856
0.027887	-0.004698
0.029682	-0.005508
0.031593	-0.007079
0.033627	-0.008431
0.035791	-0.008849
0.038095	-0.009937
0.040547	-0.011685
0.043157	-0.012828
0.045935	-0.014390
0.048892	-0.016127
0.052039	-0.018077
0.055389	-0.020188
0.058955	-0.022675
0.062750	-0.026490
0.066789	-0.029210
0.071088	-0.033144
0.075664	-0.038244
0.080534	-0.041669
0.085718	-0.047058
0.091236	-0.052024
0.097109	-0.059455
0.103360	-0.066860
0.110013	-0.074505
0.117095	-0.084336
0.124632	-0.094638
0.132655	-0.106028
0.141194	-0.118041
0.150283	-0.131809
0.159956	-0.146606
0.170253	-0.164271
0.181212	-0.182186
0.192877	-0.202440
0.205292	-0.224143
0.218507	-0.247051
0.232572	-0.272498
0.247543	-0.300192
0.263477	-0.329780
0.280437	-0.361116
0.298489	-0.394576
0.317703	-0.429302
0.338153	-0.466140
0.359920	-0.503596
0.383088	-0.542133
0.407748	-0.579927
0.433995	-0.617254
0.461931	-0.651455
0.491666	-0.681487
0.523314	-0.704541
0.557000	-0.723741
0.592854	-0.735262
0.631016	-0.736779
0.671635	-0.729226
0.714868	-0.712808
0.760884	-0.687812
0.809863	-0.644289
0.861994	-0.577845
0.917480	-0.497964
