# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.001080	0.003018
0.001476	0.007915
0.001780	0.005123
0.002146	0.005633
0.002284	0.010622
0.002587	0.011063
0.002931	0.011207
0.003120	0.012106
0.003321	0.016895
0.003535	0.018774
0.003762	0.023187
0.004004	0.013999
0.004262	0.020840
0.004536	0.019548
0.004828	0.028046
0.005139	0.016525
0.005470	0.024605
0.005822	0.022314
0.006197	0.022019
0.006596	0.028346
0.007020	0.036037
0.007472	0.034639
0.007953	0.031054
0.008465	0.038611
0.009010	0.039532
0.009590	0.039599
0.010207	0.042088
0.010864	0.045830
0.011564	0.046341
0.012308	0.051337
0.013100	0.054209
0.013944	0.054898
0.014841	0.059852
0.015797	0.061936
0.016813	0.063083
0.017896	0.071128
0.019048	0.071343
0.020274	0.077042
0.021579	0.078129
0.022968	0.081787
0.024446	0.083998
0.026020	0.089856
0.027695	0.090630
0.029477	0.094484
0.031375	0.097154
0.033394	0.102035
0.035544	0.103320
0.037832	0.105378
0.040267	0.107921
0.042859	0.110290
0.045618	0.113239
0.048555	0.115220
0.051680	0.115818
0.055007	0.118131
0.058547	0.117826
0.062316	0.118370
0.066327	0.117797
0.070597	0.118584
0.075141	0.118143
0.079978	0.117276
0.085126	0.116346
0.090606	0.114281
0.096438	0.113069
0.102646	0.111137
0.109253	0.108569
0.116286	0.106010
0.123771	0.103259
0.131739	0.100143
0.140219	0.096921
0.149244	0.093832
0.158851	0.090603
0.169077	0.087337
0.179960	0.084154
0.191544	0.081267
0.203874	0.078697
0.216997	0.076973
0.230966	0.076489
0.245833	0.077923
0.261657	0.082316
0.278500	0.090102
0.296427	0.104685
0.315508	0.131058
0.335818	0.176149
0.357434	0.254038
0.380442	0.387102
0.404931	0.661368
0.430997	1.229710
0.458740	2.208359
