# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.006330	358.324719
0.008647	1103.154402
0.010427	750.772165
0.012573	959.028397
0.013383	954.703332
0.015161	887.882209
0.017176	364.695723
0.018281	1158.714976
0.019458	938.510877
0.020710	868.946045
0.022043	1040.003412
0.023462	1453.839802
0.024973	2133.731093
0.026580	1232.996818
0.028291	1738.368533
0.030112	1172.632038
0.032051	1689.335140
0.034114	1377.532884
0.036310	1763.393437
0.038647	1809.946391
0.041135	1683.600227
0.043782	2034.318943
0.046601	2017.484738
0.049600	2123.306726
0.052793	2108.956123
0.056192	2181.257408
0.059809	2011.249508
0.063658	2054.070064
0.067756	2190.134454
0.072118	2135.072336
0.076760	2215.461111
0.081701	2098.063014
0.086960	2036.578554
0.092558	2071.994892
0.098516	1905.611881
0.104857	1946.796404
0.111607	1957.691071
0.118791	1820.645747
0.126437	1772.045167
0.134576	1758.261358
0.143239	1651.084906
0.152459	1638.329770
0.162273	1542.068307
0.172719	1453.845087
0.183837	1395.151991
0.195670	1332.607151
0.208266	1267.186162
0.221672	1201.948808
0.235941	1117.673165
0.251128	1060.938194
0.267293	987.027965
0.284499	916.263239
0.302812	860.756619
0.322304	790.920780
0.343051	735.807721
0.365134	683.219782
0.388637	629.333155
0.413654	580.699374
0.440281	534.238452
0.468622	492.633069
0.498787	449.516469
0.530894	415.942913
0.565068	379.586592
0.601441	347.742108
0.640156	318.682654
0.681363	290.619880
0.725223	265.831502
0.771905	242.337643
0.821593	220.720235
0.874479	200.590044
0.930770	182.426823
0.990684	165.027268
1.054454	149.595855
1.122329	135.563950
1.194574	122.922305
1.271469	111.938410
1.353314	102.859701
1.440427	96.285374
1.533147	93.409841
1.631836	89.846360
1.736878	84.579029
1.848681	81.285082
1.967681	80.979790
2.094341	84.955265
2.229154	88.929497
2.372645	93.116207
2.525372	113.678636
2.687931	160.040278
