# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.006330	0.020129
0.008647	0.061971
0.010427	0.042206
0.012573	0.054108
0.013383	0.053517
0.015161	0.050107
0.017176	0.020700
0.018281	0.065401
0.019458	0.052961
0.020710	0.049176
0.022043	0.058307
0.023462	0.081593
0.024973	0.120438
0.026580	0.069200
0.028291	0.097884
0.030112	0.066232
0.032051	0.095197
0.034114	0.077212
0.036310	0.098379
0.038647	0.101858
0.041135	0.094750
0.043782	0.115095
0.046601	0.114590
0.049600	0.120776
0.052793	0.119554
0.056192	0.123695
0.059809	0.114007
0.063658	0.117701
0.067756	0.124242
0.072118	0.121297
0.076760	0.126403
0.081701	0.119619
0.086960	0.116696
0.092558	0.118949
0.098516	0.110005
0.104857	0.112504
0.111607	0.113844
0.118791	0.107189
0.126437	0.103963
0.134576	0.102854
0.143239	0.097415
0.152459	0.096786
0.162273	0.091336
0.172719	0.086767
0.183837	0.083669
0.195670	0.080250
0.208266	0.076625
0.221672	0.073150
0.235941	0.068277
0.251128	0.064919
0.267293	0.060483
0.284499	0.056415
0.302812	0.053310
0.322304	0.048722
0.343051	0.045161
0.365134	0.041854
0.388637	0.038593
0.413654	0.035464
0.440281	0.032582
0.468622	0.029899
0.498787	0.027269
0.530894	0.024953
0.565068	0.022697
0.601441	0.020652
0.640156	0.018771
0.681363	0.017069
0.725223	0.015498
0.771905	0.014098
0.821593	0.012825
0.874479	0.011662
0.930770	0.010615
0.990684	0.009680
1.054454	0.008843
1.122329	0.008088
1.194574	0.007452
1.271469	0.006905
1.353314	0.006460
1.440427	0.006153
1.533147	0.006073
1.631836	0.006147
1.736878	0.006521
1.848681	0.007365
1.967681	0.008903
2.094341	0.011624
2.229154	0.016449
2.372645	0.025713
2.525372	0.044115
2.687931	0.077516
