# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k)-P_lin(k))/P_lin(k) [(Mpc/h)^3]
0.006330	-0.510553
0.008647	0.129393
0.010427	-0.349885
0.012573	-0.293576
0.013383	-0.332643
0.015161	-0.439539
0.017176	-0.791245
0.018281	-0.367273
0.019458	-0.510467
0.020710	-0.566440
0.022043	-0.502882
0.023462	-0.333182
0.024973	-0.059326
0.026580	-0.476573
0.028291	-0.288033
0.030112	-0.535725
0.032051	-0.352056
0.034114	-0.487042
0.036310	-0.361041
0.038647	-0.360336
0.041135	-0.418252
0.043782	-0.311033
0.046601	-0.328620
0.049600	-0.303912
0.052793	-0.317124
0.056192	-0.300568
0.059809	-0.359643
0.063658	-0.348899
0.067756	-0.306975
0.072118	-0.323748
0.076760	-0.295701
0.081701	-0.328734
0.086960	-0.342413
0.092558	-0.322953
0.098516	-0.368091
0.104857	-0.343016
0.111607	-0.325734
0.118791	-0.358171
0.126437	-0.358720
0.134576	-0.344873
0.143239	-0.364682
0.152459	-0.346972
0.162273	-0.361307
0.172719	-0.372330
0.183837	-0.370142
0.195670	-0.368856
0.208266	-0.368347
0.221672	-0.367368
0.235941	-0.376805
0.251128	-0.371279
0.267293	-0.376315
0.284499	-0.380672
0.302812	-0.375653
0.322304	-0.382431
0.343051	-0.379618
0.365134	-0.376113
0.388637	-0.375758
0.413654	-0.372529
0.440281	-0.369399
0.468622	-0.363074
0.498787	-0.361752
0.530894	-0.349798
0.565068	-0.345137
0.601441	-0.336352
0.640156	-0.325692
0.681363	-0.316741
0.725223	-0.304122
0.771905	-0.292241
0.821593	-0.279419
0.874479	-0.266614
0.930770	-0.251708
0.990684	-0.239245
1.054454	-0.223690
1.122329	-0.206806
1.194574	-0.187816
1.271469	-0.163557
1.353314	-0.129521
1.440427	-0.075877
1.533147	0.018120
1.631836	0.113536
1.736878	0.193456
1.848681	0.307431
1.967681	0.486470
2.094341	0.781692
2.229154	1.133176
2.372645	1.557440
2.525372	2.578532
2.687931	4.780082
