# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k)-P_lin(k))/P_lin(k) [(Mpc/h)^3]
0.006330	-0.280211
0.008647	0.660930
0.010427	-0.043219
0.012573	0.043404
0.013383	-0.020655
0.015161	-0.171976
0.017176	-0.689812
0.018281	-0.065071
0.019458	-0.276803
0.020710	-0.357661
0.022043	-0.270367
0.023462	-0.020283
0.024973	0.390017
0.026580	-0.230950
0.028291	0.049511
0.030112	-0.313500
0.032051	-0.044123
0.034114	-0.247303
0.036310	-0.066778
0.038647	-0.057598
0.041135	-0.142901
0.043782	0.020451
0.046601	-0.001694
0.049600	0.036544
0.052793	0.013436
0.056192	0.038363
0.059809	-0.049734
0.063658	-0.023277
0.067756	0.029208
0.072118	0.005782
0.076760	0.051980
0.081701	0.001924
0.086960	-0.013575
0.092558	0.017534
0.098516	-0.045032
0.104857	-0.006062
0.111607	0.026492
0.118791	-0.010763
0.126437	-0.015060
0.134576	0.003276
0.143239	-0.018690
0.152459	0.009951
0.162273	-0.009652
0.172719	-0.019329
0.183837	-0.011125
0.195670	-0.004987
0.208266	-0.000081
0.221672	0.007948
0.235941	-0.003349
0.251128	0.007157
0.267293	0.000514
0.284499	-0.001726
0.302812	0.012303
0.322304	-0.004060
0.343051	-0.003190
0.365134	0.000540
0.388637	0.002161
0.413654	0.003193
0.440281	0.006817
0.468622	0.012010
0.498787	0.013625
0.530894	0.021158
0.565068	0.025116
0.601441	0.031789
0.640156	0.039763
0.681363	0.050555
0.725223	0.062094
0.771905	0.077938
0.821593	0.096095
0.874479	0.116264
0.930770	0.139930
0.990684	0.168175
1.054454	0.201328
1.122329	0.238880
1.194574	0.288986
1.271469	0.350681
1.353314	0.431178
1.440427	0.546133
1.533147	0.732823
1.631836	0.994472
1.736878	1.408812
1.848681	2.101245
1.967681	3.278366
2.094341	5.381842
2.229154	9.329683
2.372645	17.487815
2.525372	35.355201
2.687931	72.291527
