# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.001577	86.414421
0.002200	46.535464
0.002598	0.000000
0.003068	123.832432
0.003428	59.620948
0.003830	0.000000
0.004279	61.940651
0.004523	38.011128
0.004781	182.239273
0.005053	0.000000
0.005342	0.000000
0.005646	43.099496
0.006308	250.788703
0.006668	87.399397
0.007048	176.211671
0.007450	164.329517
0.007875	291.896378
0.008324	235.552510
0.008799	363.635571
0.009300	158.382060
0.009831	188.605138
0.010391	306.012752
0.010984	177.224883
0.011610	300.149901
0.012272	265.383667
0.012972	399.851475
0.013711	557.957303
0.014493	283.462069
0.015319	447.411377
0.016193	393.539028
0.017116	352.298623
0.018092	400.856096
0.019124	544.380772
0.020214	477.944004
0.021367	454.148653
0.022585	473.131091
0.023873	437.953975
0.025234	653.467812
0.026672	574.094930
0.028193	610.818371
0.029801	529.501005
0.031500	716.411683
0.033296	592.115033
0.035195	619.977598
0.037201	619.324328
0.039322	689.820308
0.041565	634.392109
0.043934	719.971130
0.046439	689.500740
0.049087	701.931439
0.051886	715.119288
0.054845	694.258735
0.057972	720.786164
0.061277	684.359207
0.064771	694.054622
0.068464	701.216457
0.072368	683.178829
0.076494	693.034411
0.080856	673.841430
0.085466	668.574685
0.090339	644.812343
0.095490	631.039625
0.100935	619.445128
0.106690	597.699996
0.112773	575.110102
0.119203	554.400149
0.126000	535.990479
0.133184	513.112299
0.140778	491.386188
0.148805	470.952027
0.157290	454.862090
0.166258	437.936262
0.175738	437.098003
0.185758	437.922225
0.196350	455.875568
0.207545	480.106624
0.219379	527.001352
0.231887	619.976343
0.245109	765.222845
0.259085	1012.598621
0.273857	1379.647911
0.289472	1947.588520
0.305977	3119.981029
0.323423	5413.344733
0.341864	8659.492212
