# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.001577	0.013762
0.002200	0.007421
0.002598	0.000000
0.003068	0.019767
0.003428	0.009490
0.003830	0.000000
0.004279	0.009869
0.004523	0.006075
0.004781	0.029023
0.005053	0.000000
0.005342	0.000000
0.005646	0.006859
0.006308	0.039965
0.006668	0.013935
0.007048	0.028007
0.007450	0.026261
0.007875	0.046594
0.008324	0.037597
0.008799	0.057901
0.009300	0.025244
0.009831	0.030060
0.010391	0.048821
0.010984	0.028323
0.011610	0.047906
0.012272	0.042338
0.012972	0.063824
0.013711	0.089046
0.014493	0.045309
0.015319	0.071364
0.016193	0.062823
0.017116	0.056310
0.018092	0.064020
0.019124	0.087013
0.020214	0.076279
0.021367	0.072809
0.022585	0.075695
0.023873	0.070242
0.025234	0.104647
0.026672	0.092174
0.028193	0.098068
0.029801	0.085202
0.031500	0.115339
0.033296	0.095467
0.035195	0.100149
0.037201	0.100035
0.039322	0.111725
0.041565	0.102982
0.043934	0.117021
0.046439	0.112408
0.049087	0.114579
0.051886	0.117123
0.054845	0.114041
0.057972	0.118964
0.061277	0.113410
0.064771	0.115478
0.068464	0.117245
0.072368	0.115031
0.076494	0.117406
0.080856	0.114964
0.085466	0.114914
0.090339	0.111694
0.095490	0.110570
0.100935	0.109625
0.106690	0.107174
0.112773	0.104446
0.119203	0.102278
0.126000	0.100508
0.133184	0.098057
0.140778	0.095914
0.148805	0.094099
0.157290	0.093127
0.166258	0.092110
0.175738	0.094389
0.185758	0.097343
0.196350	0.104550
0.207545	0.117219
0.219379	0.137437
0.231887	0.172515
0.245109	0.225980
0.259085	0.317274
0.273857	0.465527
0.289472	0.728909
0.305977	1.244604
0.323423	2.219492
0.341864	3.471030
