# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.001577	-0.053328
0.002200	-0.054301
0.003068	-0.055606
0.003428	-0.054343
0.004279	-0.053625
0.004523	-0.058967
0.004781	-0.054208
0.005646	-0.052690
0.006308	-0.058010
0.006668	-0.057592
0.007048	-0.053503
0.007450	-0.053585
0.007875	-0.056188
0.008324	-0.056290
0.008799	-0.056052
0.009300	-0.057216
0.009831	-0.056974
0.010391	-0.063857
0.010984	-0.057740
0.011610	-0.057147
0.012272	-0.062117
0.012972	-0.062242
0.013711	-0.065985
0.014493	-0.062404
0.015319	-0.064552
0.016193	-0.065837
0.017116	-0.068213
0.018092	-0.071030
0.019124	-0.072632
0.020214	-0.074842
0.021367	-0.075844
0.022585	-0.082908
0.023873	-0.084541
0.025234	-0.089852
0.026672	-0.095118
0.028193	-0.101540
0.029801	-0.103270
0.031500	-0.110446
0.033296	-0.112517
0.035195	-0.120139
0.037201	-0.129072
0.039322	-0.137702
0.041565	-0.143446
0.043934	-0.159119
0.046439	-0.167124
0.049087	-0.182573
0.051886	-0.194990
0.054845	-0.208902
0.057972	-0.223294
0.061277	-0.241349
0.064771	-0.259818
0.068464	-0.283471
0.072368	-0.300916
0.076494	-0.327241
0.080856	-0.354622
0.085466	-0.384761
0.090339	-0.412528
0.095490	-0.442213
0.100935	-0.476156
0.106690	-0.511778
0.112773	-0.545906
0.119203	-0.578256
0.126000	-0.616340
0.133184	-0.652525
0.140778	-0.689411
0.148805	-0.724388
0.157290	-0.755919
0.166258	-0.785959
0.175738	-0.810136
0.185758	-0.831542
0.196350	-0.849343
0.207545	-0.864631
0.219379	-0.876453
0.231887	-0.882597
0.245109	-0.885882
0.259085	-0.885457
0.273857	-0.885453
0.289472	-0.884008
0.305977	-0.874963
0.323423	-0.865974
0.341864	-0.875025
