# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.001577	-0.001048
0.002200	-0.000672
0.003068	-0.001120
0.003428	-0.002651
0.004279	-0.000859
0.004523	-0.003396
0.004781	-0.001972
0.005646	-0.001148
0.006308	-0.005348
0.006668	-0.004378
0.007048	-0.003218
0.007450	0.002148
0.007875	-0.001765
0.008324	-0.001950
0.008799	-0.004100
0.009300	-0.004352
0.009831	-0.004123
0.010391	-0.010393
0.010984	-0.002212
0.011610	-0.002892
0.012272	-0.008599
0.012972	-0.008205
0.013711	-0.012323
0.014493	-0.006990
0.015319	-0.011349
0.016193	-0.011894
0.017116	-0.013178
0.018092	-0.016946
0.019124	-0.017843
0.020214	-0.021659
0.021367	-0.018294
0.022585	-0.027814
0.023873	-0.027128
0.025234	-0.034250
0.026672	-0.037358
0.028193	-0.044212
0.029801	-0.043927
0.031500	-0.051067
0.033296	-0.051895
0.035195	-0.058254
0.037201	-0.067897
0.039322	-0.074614
0.041565	-0.078691
0.043934	-0.094405
0.046439	-0.100310
0.049087	-0.115888
0.051886	-0.126397
0.054845	-0.138967
0.057972	-0.150595
0.061277	-0.166977
0.064771	-0.183992
0.068464	-0.206173
0.072368	-0.220065
0.076494	-0.244833
0.080856	-0.270431
0.085466	-0.299325
0.090339	-0.325732
0.095490	-0.352414
0.100935	-0.385731
0.106690	-0.419940
0.112773	-0.453568
0.119203	-0.484469
0.126000	-0.523305
0.133184	-0.560016
0.140778	-0.598308
0.148805	-0.635116
0.157290	-0.668885
0.166258	-0.701707
0.175738	-0.728334
0.185758	-0.751887
0.196350	-0.771063
0.207545	-0.781009
0.219379	-0.786512
0.231887	-0.783539
0.245109	-0.776702
0.259085	-0.762198
0.273857	-0.743900
0.289472	-0.712359
0.305977	-0.669503
0.323423	-0.635895
0.341864	-0.668077
