# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.003165	0.012029
0.004324	0.007966
0.005214	0.036588
0.006287	0.031031
0.006691	0.026076
0.007580	0.020775
0.008588	0.047530
0.009141	0.026419
0.009729	0.054849
0.010355	0.043533
0.011022	0.043888
0.011731	0.060783
0.012486	0.049019
0.013290	0.057251
0.014146	0.063664
0.015056	0.050290
0.016025	0.059006
0.017057	0.084097
0.018155	0.073736
0.019323	0.080163
0.020567	0.078895
0.021891	0.073370
0.023300	0.094176
0.024800	0.083210
0.026397	0.090825
0.028096	0.101898
0.029904	0.104665
0.031829	0.102354
0.033878	0.102380
0.036059	0.105608
0.038380	0.105916
0.040850	0.114247
0.043480	0.112779
0.046279	0.118007
0.049258	0.117190
0.052429	0.117750
0.055803	0.123092
0.059395	0.120109
0.063219	0.119931
0.067288	0.118294
0.071619	0.119970
0.076230	0.121123
0.081137	0.117255
0.086359	0.117167
0.091918	0.116541
0.097835	0.112730
0.104133	0.113758
0.110836	0.111451
0.117970	0.107858
0.125564	0.105013
0.133647	0.102077
0.142250	0.098278
0.151406	0.095834
0.161152	0.091705
0.171526	0.088416
0.182567	0.084514
0.194319	0.080749
0.206827	0.076701
0.220140	0.072403
0.234311	0.068712
0.249394	0.064812
0.265447	0.060889
0.282534	0.056882
0.300721	0.053468
0.320078	0.049967
0.340682	0.046606
0.362611	0.043422
0.385953	0.040391
0.410797	0.037621
0.437240	0.035093
0.465385	0.032796
0.495342	0.030709
0.527227	0.028859
0.561165	0.027294
0.597287	0.026057
0.635734	0.025183
0.676657	0.024745
0.720213	0.024915
0.766574	0.025967
0.815918	0.026825
0.868439	0.028359
0.924340	0.032051
0.983840	0.038964
1.047170	0.050950
1.114577	0.067781
1.186322	0.098897
1.262686	0.168317
1.343966	0.294045
