# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.003165	0.017703
0.004324	0.033855
0.005214	0.023933
0.006287	0.021681
0.006691	0.028582
0.007580	0.037600
0.008588	0.027262
0.009141	0.037219
0.009729	0.048265
0.010355	0.047018
0.011022	0.028089
0.011731	0.063713
0.012486	0.051167
0.013290	0.040221
0.014146	0.062128
0.015056	0.053586
0.016025	0.054631
0.017057	0.059870
0.018155	0.073728
0.019323	0.077944
0.020567	0.076852
0.021891	0.075783
0.023300	0.080696
0.024800	0.091393
0.026397	0.092063
0.028096	0.095152
0.029904	0.094304
0.031829	0.102994
0.033878	0.104879
0.036059	0.100067
0.038380	0.106956
0.040850	0.108942
0.043480	0.108192
0.046279	0.121659
0.049258	0.112031
0.052429	0.116061
0.055803	0.118296
0.059395	0.119683
0.063219	0.119221
0.067288	0.120547
0.071619	0.118543
0.076230	0.120297
0.081137	0.116837
0.086359	0.116604
0.091918	0.114853
0.097835	0.111101
0.104133	0.108739
0.110836	0.105023
0.117970	0.104092
0.125564	0.100090
0.133647	0.096432
0.142250	0.092642
0.151406	0.089010
0.161152	0.085320
0.171526	0.080981
0.182567	0.076242
0.194319	0.071790
0.206827	0.067103
0.220140	0.062613
0.234311	0.058145
0.249394	0.053723
0.265447	0.049109
0.282534	0.044835
0.300721	0.040928
0.320078	0.037010
0.340682	0.033329
0.362611	0.029733
0.385953	0.026384
0.410797	0.023377
0.437240	0.020572
0.465385	0.018026
0.495342	0.015755
0.527227	0.013699
0.561165	0.011894
0.597287	0.010327
0.635734	0.008983
0.676657	0.007891
0.720213	0.007052
0.766574	0.006518
0.815918	0.006357
0.868439	0.006498
0.924340	0.006923
0.983840	0.007797
1.047170	0.009442
1.114577	0.012190
1.186322	0.017398
1.262686	0.027438
1.343966	0.044305
