# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.025059	2397.706647
0.034951	4573.755075
0.043030	1844.915181
0.048748	651.407978
0.055226	1532.406991
0.060016	1574.101240
0.067991	2364.498876
0.073889	2627.094309
0.077026	1694.134982
0.080297	1304.588707
0.083707	2771.305864
0.087262	3843.823780
0.090968	1745.759361
0.098858	844.396876
0.103056	2258.238845
0.107432	4056.967124
0.111994	1990.400783
0.116750	1593.375249
0.121708	2067.889944
0.126876	2168.636107
0.132264	1888.500831
0.137881	1307.720487
0.143736	2349.296506
0.149840	2143.737219
0.156203	1494.496238
0.162837	1532.588848
0.169751	1229.851185
0.176960	1733.536825
0.184475	1441.510541
0.192309	1286.464732
0.200475	1186.197534
0.208989	1279.398647
0.217863	1253.102083
0.227115	1245.897521
0.236760	1170.226065
0.246814	1138.624913
0.257295	1069.343792
0.268221	1072.404880
0.279612	920.848158
0.291486	879.859252
0.303864	862.965760
0.316767	851.139096
0.330219	756.043309
0.344242	713.844971
0.358861	642.210096
0.374100	664.164614
0.389987	597.635287
0.406548	525.122959
0.423812	508.070658
0.441809	482.276345
0.460571	454.766837
0.480130	407.757966
0.500519	396.340276
0.521774	360.719730
0.543931	335.370386
0.567030	306.957700
0.591109	294.169660
0.616211	274.139961
0.642379	252.273492
0.669658	238.089175
0.698095	226.090149
0.727741	216.139106
0.758645	212.130426
0.790861	211.275877
0.824446	201.751055
0.859456	190.300195
0.895954	182.014953
0.934001	177.209176
0.973664	182.559419
1.015012	187.233408
1.058115	195.595021
1.103048	202.098669
1.149890	202.964935
1.198721	224.627157
1.249626	257.408081
1.302692	278.222833
1.358012	314.483482
