# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.025059	3423.106001
0.034951	6498.106579
0.043030	2615.051173
0.048748	920.972454
0.055226	2173.248437
0.060016	2243.114620
0.067991	3328.154753
0.073889	3739.109367
0.077026	2404.229354
0.080297	1856.749722
0.083707	3884.702366
0.087262	5420.464076
0.090968	2466.207043
0.098858	1161.552382
0.103056	3180.328871
0.107432	5769.373992
0.111994	2812.450425
0.116750	2242.577651
0.121708	2887.209555
0.126876	3046.162507
0.132264	2670.842538
0.137881	1785.431081
0.143736	3288.958520
0.149840	2996.358667
0.156203	2110.385165
0.162837	2142.249609
0.169751	1742.199915
0.176960	2426.841730
0.184475	2004.399492
0.192309	1797.108632
0.200475	1664.962798
0.208989	1812.049069
0.217863	1741.155711
0.227115	1734.966552
0.236760	1644.463684
0.246814	1606.031266
0.257295	1500.324178
0.268221	1502.378371
0.279612	1302.391568
0.291486	1227.887706
0.303864	1232.970715
0.316767	1214.259832
0.330219	1094.715435
0.344242	1030.222627
0.358861	938.319652
0.374100	960.284066
0.389987	865.868726
0.406548	767.593846
0.423812	744.132131
0.441809	712.198409
0.460571	678.193201
0.480130	615.913715
0.500519	596.701253
0.521774	549.756902
0.543931	512.594845
0.567030	473.716235
0.591109	457.439865
0.616211	434.078331
0.642379	398.422581
0.669658	379.908197
0.698095	363.537859
0.727741	352.393274
0.758645	347.217677
0.790861	347.347651
0.824446	336.313714
0.859456	320.414108
0.895954	303.527881
0.934001	299.084497
0.973664	310.658875
1.015012	313.619145
1.058115	335.281615
1.103048	342.612922
1.149890	340.313824
1.198721	375.319252
1.249626	403.897920
1.302692	517.382560
1.358012	525.678939
