# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.025059	691.786045
0.034951	1335.366445
0.043030	540.805090
0.048748	192.168895
0.055226	447.650747
0.060016	457.729898
0.067991	698.574478
0.073889	761.834980
0.077026	494.675545
0.080297	377.127156
0.083707	826.350900
0.087262	1137.757615
0.090968	515.113113
0.098858	268.767463
0.103056	669.264920
0.107432	1177.385176
0.111994	584.561666
0.116750	472.964956
0.121708	631.221561
0.126876	648.550100
0.132264	558.627397
0.137881	421.236307
0.143736	707.229535
0.149840	651.478769
0.156203	444.739341
0.162837	465.696351
0.169751	367.192627
0.176960	523.740004
0.184475	442.481846
0.192309	396.403459
0.200475	361.726330
0.208989	381.591716
0.217863	389.789504
0.227115	387.863042
0.236760	357.191869
0.246814	345.244745
0.257295	325.376918
0.268221	329.283694
0.279612	282.952042
0.291486	273.294636
0.303864	257.283937
0.316767	253.737528
0.330219	218.727979
0.344242	211.822188
0.358861	188.744230
0.374100	200.164694
0.389987	178.886381
0.406548	160.232068
0.423812	153.810859
0.441809	143.544323
0.460571	132.014370
0.480130	116.994368
0.500519	114.544745
0.521774	104.412615
0.543931	97.131337
0.567030	88.564350
0.591109	83.496486
0.616211	76.870879
0.642379	70.872905
0.669658	66.291182
0.698095	63.369326
0.727741	61.686028
0.758645	59.884393
0.790861	58.064410
0.824446	53.276780
0.859456	47.989953
0.895954	45.957046
0.934001	45.213077
0.973664	48.336706
1.015012	50.718418
1.058115	54.073530
1.103048	56.885480
1.149890	60.239573
1.198721	67.843412
1.249626	80.314407
1.302692	111.965525
1.358012	179.785077
