# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.025059	194.617645
0.034951	378.153763
0.043030	154.648665
0.048748	54.037100
0.055226	126.072730
0.060016	128.208143
0.067991	195.584416
0.073889	212.682349
0.077026	137.961456
0.080297	106.141020
0.083707	234.399503
0.087262	317.350118
0.090968	142.799966
0.098858	67.830751
0.103056	182.027211
0.107432	326.887002
0.111994	160.639633
0.116750	132.838686
0.121708	174.720906
0.126876	175.296710
0.132264	153.334561
0.137881	119.310919
0.143736	193.098574
0.149840	174.384401
0.156203	117.712921
0.162837	123.970342
0.169751	97.465751
0.176960	139.227219
0.184475	118.964384
0.192309	105.265732
0.200475	92.721772
0.208989	99.486055
0.217863	99.038707
0.227115	99.321427
0.236760	90.282271
0.246814	85.415772
0.257295	80.306614
0.268221	80.400742
0.279612	67.112570
0.291486	64.009314
0.303864	58.786240
0.316767	58.354539
0.330219	48.660432
0.344242	46.301415
0.358861	40.979949
0.374100	42.307089
0.389987	37.436375
0.406548	32.814331
0.423812	30.302219
0.441809	27.766897
0.460571	24.757679
0.480130	21.483828
0.500519	20.246031
0.521774	17.942130
0.543931	16.336793
0.567030	14.255408
0.591109	12.752710
0.616211	11.364618
0.642379	10.004760
0.669658	8.873038
0.698095	7.992027
0.727741	7.269906
0.758645	6.692983
0.790861	6.249895
0.824446	5.877354
0.859456	5.442664
0.895954	5.294677
0.934001	5.401947
0.973664	5.653054
1.015012	6.158798
1.058115	6.751049
1.103048	7.118726
1.149890	7.656116
1.198721	9.384764
1.249626	12.960251
1.302692	18.291855
1.358012	44.195681
