# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.006287	243062.438371
0.008829	130017.425671
0.010720	0.000000
0.012400	1252056.497817
0.013664	165348.278026
0.015056	0.000000
0.017415	11885.340921
0.018281	165709.745090
0.019190	220581.975278
0.020144	0.000000
0.021146	0.000000
0.022197	163535.762721
0.023300	0.000000
0.024459	837863.552008
0.025675	159283.147171
0.026951	244094.054706
0.028291	67324.921195
0.029698	138011.304162
0.031174	166814.099165
0.032724	130189.506563
0.034351	43162.551122
0.036059	171762.692718
0.037852	54837.629154
0.039733	92031.732280
0.041709	107468.171867
0.043782	182039.354044
0.045959	107346.748869
0.048244	116046.199201
0.050643	177029.473354
0.053160	79913.792370
0.055803	105069.619653
0.058578	88292.701718
0.061490	140280.394094
0.064547	95474.242823
0.067756	81422.001006
0.071125	92122.614911
0.074661	92406.035821
0.078373	92520.604363
0.082269	97405.799015
0.086359	85620.692231
0.090653	95050.962081
0.095160	74788.412503
0.099891	91460.167388
0.104857	88159.670546
0.110070	82048.576497
0.115543	76965.852067
0.121287	77320.078477
0.127317	72705.799056
0.133647	69389.069879
0.140291	67556.183263
0.147266	70682.286230
0.154588	66924.368356
0.162273	55326.276548
0.170341	66519.742869
0.178810	64779.309852
0.187699	58992.125803
0.197031	57911.992900
0.206827	56262.265282
0.217110	54454.906406
0.227904	56831.098056
0.239234	49490.281847
0.251128	51188.186910
0.263613	47719.716097
0.276719	47656.894550
0.290477	45055.734305
0.304919	44127.777289
0.320078	43446.758708
0.335991	40845.672219
0.352696	41569.207822
0.370231	41454.389425
0.388637	40989.938669
0.407959	43052.879829
0.428241	41919.585973
0.449532	42601.992713
0.471881	42431.481682
0.495342	45328.734125
0.519968	48078.227909
0.545820	53572.169742
0.572956	56138.988196
0.601441	62150.749972
0.631343	74981.158948
0.662731	98604.184521
0.695680	1807.059975
