# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.006287	170.452838
0.008829	89.173542
0.010720	0.000000
0.012400	788.014964
0.013664	98.580303
0.015056	0.000000
0.017415	7.600510
0.018281	89.956093
0.019190	123.425586
0.020144	0.000000
0.021146	0.000000
0.022197	125.526673
0.023300	0.000000
0.024459	543.393823
0.025675	116.322912
0.026951	140.854438
0.028291	52.915850
0.029698	118.282290
0.031174	147.805924
0.032724	108.266890
0.034351	50.596326
0.036059	139.708991
0.037852	39.196425
0.039733	92.130574
0.041709	85.490391
0.043782	119.403877
0.045959	78.159399
0.048244	99.205338
0.050643	150.225255
0.053160	72.028704
0.055803	109.999182
0.058578	72.704023
0.061490	116.859793
0.064547	96.429600
0.067756	63.584975
0.071125	88.524639
0.074661	91.992406
0.078373	98.480873
0.082269	95.351625
0.086359	79.453364
0.090653	101.827467
0.095160	89.985607
0.099891	101.051472
0.104857	105.877060
0.110070	94.283714
0.115543	94.766830
0.121287	93.064098
0.127317	91.111659
0.133647	86.889494
0.140291	90.381796
0.147266	94.426714
0.154588	94.755223
0.162273	84.735473
0.170341	97.889277
0.178810	91.142954
0.187699	86.963733
0.197031	88.855573
0.206827	85.563113
0.217110	83.465833
0.227904	87.865614
0.239234	80.739684
0.251128	85.904391
0.263613	81.980056
0.276719	83.726334
0.290477	80.826517
0.304919	81.694670
0.320078	80.563887
0.335991	80.469993
0.352696	82.811801
0.370231	84.355820
0.388637	88.105943
0.407959	95.820512
0.428241	106.660965
0.449532	126.051592
0.471881	153.140400
0.495342	191.040354
0.519968	249.095448
0.545820	343.054733
0.572956	492.250497
0.601441	753.321437
0.631343	1299.220731
0.662731	2238.764333
0.695680	5343.109234
