# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.006287	-0.817841
0.008829	-0.816837
0.012400	-0.802033
0.013664	-0.791591
0.017415	-0.808495
0.018281	-0.773810
0.019190	-0.777871
0.022197	-0.833822
0.024459	-0.809792
0.025675	-0.826979
0.026951	-0.786107
0.028291	-0.838669
0.029698	-0.851354
0.031174	-0.856593
0.032724	-0.847263
0.034351	-0.891096
0.036059	-0.845179
0.037852	-0.833736
0.039733	-0.877111
0.041709	-0.843310
0.043782	-0.809771
0.045959	-0.832792
0.048244	-0.855265
0.050643	-0.855821
0.053160	-0.866778
0.055803	-0.884381
0.058578	-0.854399
0.061490	-0.857509
0.064547	-0.880747
0.067756	-0.847030
0.071125	-0.876561
0.074661	-0.884584
0.078373	-0.890707
0.082269	-0.884360
0.086359	-0.879018
0.090653	-0.895458
0.095160	-0.907778
0.099891	-0.902505
0.104857	-0.912426
0.110070	-0.908797
0.115543	-0.917254
0.121287	-0.916805
0.127317	-0.924279
0.133647	-0.925960
0.140291	-0.931219
0.147266	-0.934682
0.154588	-0.939799
0.162273	-0.946093
0.170341	-0.946702
0.178810	-0.947054
0.187699	-0.952850
0.197031	-0.955979
0.206827	-0.958749
0.217110	-0.961358
0.227904	-0.964777
0.239234	-0.968766
0.251128	-0.972620
0.263613	-0.975653
0.276719	-0.977997
0.290477	-0.980628
0.304919	-0.983294
0.320078	-0.985305
0.335991	-0.987620
0.352696	-0.989292
0.370231	-0.990775
0.388637	-0.992251
0.407959	-0.993331
0.428241	-0.994660
0.449532	-0.995662
0.471881	-0.996602
0.495342	-0.997211
0.519968	-0.997791
0.545820	-0.998271
0.572956	-0.998757
0.601441	-0.999031
0.631343	-0.999230
0.662731	-0.999280
0.695680	-0.999717
