# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.006287	0.002416
0.008829	-0.006088
0.012400	-0.006268
0.013664	-0.002244
0.017415	-0.018767
0.018281	-0.004307
0.019190	0.003456
0.022197	-0.006022
0.024459	-0.005601
0.025675	-0.012073
0.026951	-0.000096
0.028291	-0.020831
0.029698	-0.016549
0.031174	-0.012472
0.032724	-0.011371
0.034351	-0.028742
0.036059	-0.011973
0.037852	-0.055673
0.039733	-0.045653
0.041709	-0.020966
0.043782	-0.006649
0.045959	-0.030235
0.048244	-0.029938
0.050643	-0.037891
0.053160	-0.048354
0.055803	-0.060026
0.058578	-0.049351
0.061490	-0.051888
0.064547	-0.060947
0.067756	-0.053276
0.071125	-0.059924
0.074661	-0.084721
0.078373	-0.094928
0.082269	-0.095365
0.086359	-0.090829
0.090653	-0.107484
0.095160	-0.108908
0.099891	-0.132093
0.104857	-0.151713
0.110070	-0.148074
0.115543	-0.175042
0.121287	-0.184128
0.127317	-0.214602
0.133647	-0.226532
0.140291	-0.233800
0.147266	-0.262335
0.154588	-0.282209
0.162273	-0.304351
0.170341	-0.323931
0.178810	-0.350121
0.187699	-0.390973
0.197031	-0.405172
0.206827	-0.439782
0.217110	-0.465871
0.227904	-0.505454
0.239234	-0.533711
0.251128	-0.573953
0.263613	-0.608537
0.276719	-0.637612
0.290477	-0.670459
0.304919	-0.703284
0.320078	-0.737094
0.335991	-0.763590
0.352696	-0.791150
0.370231	-0.815704
0.388637	-0.835197
0.407959	-0.851598
0.428241	-0.863762
0.449532	-0.869673
0.471881	-0.875162
0.495342	-0.878808
0.519968	-0.882307
0.545820	-0.885056
0.572956	-0.885767
0.601441	-0.875884
0.631343	-0.863567
0.662731	-0.829724
0.695680	-0.873826
