# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.006287	1067.679829
0.008829	783.826917
0.010720	0.000030
0.012400	9320.947572
0.013664	1283.926548
0.015056	0.000060
0.017415	123.614191
0.018281	1466.416468
0.019190	2122.641633
0.020144	0.000145
0.021146	0.000079
0.022197	2314.602575
0.023300	0.000179
0.024459	10732.561796
0.025675	2334.437570
0.026951	2922.025551
0.028291	1140.387201
0.029698	2593.112768
0.031174	3261.866806
0.032724	2435.828603
0.034351	1132.635853
0.036059	3324.970315
0.037852	973.141617
0.039733	2310.560521
0.041709	2186.352902
0.043782	3047.749819
0.045959	2028.512032
0.048244	2534.781605
0.050643	3964.052896
0.053160	1915.586654
0.055803	2876.096731
0.058578	1944.792169
0.061490	3105.733671
0.064547	2559.580507
0.067756	1694.998112
0.071125	2315.687763
0.074661	2414.988275
0.078373	2586.760092
0.082269	2435.064279
0.086359	1985.046478
0.090653	2534.263710
0.095160	2157.640401
0.099891	2439.141449
0.104857	2445.372843
0.110070	2114.764952
0.115543	2120.908214
0.121287	2020.173408
0.127317	1888.611981
0.133647	1735.322388
0.140291	1740.924936
0.147266	1757.532053
0.154588	1679.592715
0.162273	1423.639019
0.170341	1562.743473
0.178810	1379.161242
0.187699	1249.471802
0.197031	1201.362472
0.206827	1084.352203
0.217110	989.878878
0.227904	969.950341
0.239234	816.691580
0.251128	816.973066
0.263613	706.884457
0.276719	670.315363
0.290477	593.891444
0.304919	555.685303
0.320078	497.168100
0.335991	460.112164
0.352696	437.896845
0.370231	424.399585
0.388637	406.175649
0.407959	392.010472
0.428241	356.824426
0.449532	348.278035
0.471881	352.170833
0.495342	370.434086
0.519968	412.980754
0.545820	457.646728
0.572956	485.229195
0.601441	592.841219
0.631343	815.124813
0.662731	1303.515546
0.695680	14725.616456
