# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.006287	-0.075565
0.008829	-0.078501
0.012400	-0.078805
0.013664	-0.077165
0.017415	-0.096968
0.018281	-0.073098
0.019190	-0.070201
0.022197	-0.078808
0.024459	-0.082627
0.025675	-0.086498
0.026951	-0.079420
0.028291	-0.094369
0.029698	-0.097301
0.031174	-0.092305
0.032724	-0.094400
0.034351	-0.116868
0.036059	-0.091258
0.037852	-0.119582
0.039733	-0.119880
0.041709	-0.098213
0.043782	-0.086469
0.045959	-0.109463
0.048244	-0.110181
0.050643	-0.113378
0.053160	-0.129650
0.055803	-0.140492
0.058578	-0.129750
0.061490	-0.130521
0.064547	-0.144881
0.067756	-0.132282
0.071125	-0.148218
0.074661	-0.167747
0.078373	-0.171522
0.082269	-0.184037
0.086359	-0.181188
0.090653	-0.197762
0.095160	-0.201786
0.099891	-0.217591
0.104857	-0.242254
0.110070	-0.243921
0.115543	-0.266930
0.121287	-0.272888
0.127317	-0.309535
0.133647	-0.322582
0.140291	-0.331208
0.147266	-0.355538
0.154588	-0.378109
0.162273	-0.403826
0.170341	-0.425271
0.178810	-0.449805
0.187699	-0.486219
0.197031	-0.500212
0.206827	-0.534498
0.217110	-0.559615
0.227904	-0.595222
0.239234	-0.625475
0.251128	-0.656571
0.263613	-0.690475
0.276719	-0.714637
0.290477	-0.742486
0.304919	-0.769391
0.320078	-0.797344
0.335991	-0.819128
0.352696	-0.839934
0.370231	-0.855736
0.388637	-0.871271
0.407959	-0.887491
0.428241	-0.904123
0.449532	-0.914050
0.471881	-0.922076
0.495342	-0.927369
0.519968	-0.931721
0.545820	-0.937212
0.572956	-0.944307
0.601441	-0.943036
0.631343	-0.937653
0.662731	-0.918122
0.695680	-0.995683
