# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.006287	0.000584
0.008829	-0.005624
0.012400	-0.005717
0.013664	-0.007152
0.017415	-0.019367
0.018281	0.002418
0.019190	-0.000809
0.022197	-0.002676
0.024459	-0.008191
0.025675	-0.011352
0.026951	-0.002339
0.028291	-0.019138
0.029698	-0.013394
0.031174	-0.008415
0.032724	-0.005381
0.034351	-0.012401
0.036059	-0.007122
0.037852	-0.056873
0.039733	-0.037748
0.041709	-0.021645
0.043782	-0.011546
0.045959	-0.026623
0.048244	-0.021387
0.050643	-0.034759
0.053160	-0.040370
0.055803	-0.049582
0.058578	-0.041988
0.061490	-0.045915
0.064547	-0.053157
0.067756	-0.050649
0.071125	-0.049335
0.074661	-0.069189
0.078373	-0.082068
0.082269	-0.084001
0.086359	-0.075984
0.090653	-0.093709
0.095160	-0.090729
0.099891	-0.116588
0.104857	-0.131805
0.110070	-0.124640
0.115543	-0.152998
0.121287	-0.156137
0.127317	-0.191143
0.133647	-0.196330
0.140291	-0.203356
0.147266	-0.227285
0.154588	-0.243473
0.162273	-0.264256
0.170341	-0.279893
0.178810	-0.301510
0.187699	-0.337616
0.197031	-0.346862
0.206827	-0.381282
0.217110	-0.401018
0.227904	-0.434595
0.239234	-0.461277
0.251128	-0.496607
0.263613	-0.528542
0.276719	-0.553149
0.290477	-0.582698
0.304919	-0.611275
0.320078	-0.644441
0.335991	-0.668824
0.352696	-0.691902
0.370231	-0.713678
0.388637	-0.728847
0.407959	-0.744031
0.428241	-0.754179
0.449532	-0.753617
0.471881	-0.750454
0.495342	-0.740043
0.519968	-0.730406
0.545820	-0.715513
0.572956	-0.695594
0.601441	-0.641089
0.631343	-0.565316
0.662731	-0.400886
0.695680	-0.383476
