# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.006287	1245.891506
0.008829	908.358083
0.010720	0.000006
0.012400	10800.983298
0.013664	1489.139244
0.015056	0.000035
0.017415	138.414266
0.018281	1684.590198
0.019190	2432.028737
0.020144	0.000106
0.021146	0.000024
0.022197	2698.557330
0.023300	0.000192
0.024459	12502.189680
0.025675	2723.770461
0.026951	3413.648702
0.028291	1325.342203
0.029698	3017.678210
0.031174	3825.152019
0.032724	2833.504381
0.034351	1325.102487
0.036059	3881.693311
0.037852	1113.799143
0.039733	2660.645969
0.041709	2501.231546
0.043782	3511.955301
0.045959	2335.614230
0.048244	2945.496272
0.050643	4578.141203
0.053160	2224.726610
0.055803	3335.056026
0.058578	2256.498725
0.061490	3584.079427
0.064547	2953.503957
0.067756	1958.871638
0.071125	2700.007608
0.074661	2802.470660
0.078373	2978.435008
0.082269	2816.739157
0.086359	2306.839260
0.090653	2941.351629
0.095160	2503.170331
0.099891	2834.950890
0.104857	2854.477010
0.110070	2467.501839
0.115543	2435.236195
0.121287	2353.353176
0.127317	2202.833101
0.133647	2017.501847
0.140291	2043.104635
0.147266	2072.843632
0.154588	1988.377314
0.162273	1684.327754
0.170341	1871.171234
0.178810	1662.323472
0.187699	1500.713629
0.197031	1476.014849
0.206827	1344.958175
0.217110	1252.597231
0.227904	1243.522177
0.239234	1059.478223
0.251128	1095.774097
0.263613	966.617843
0.276719	950.591828
0.290477	872.370032
0.304919	842.345239
0.320078	791.383616
0.335991	757.732757
0.352696	759.618322
0.370231	760.300434
0.388637	748.937089
0.407959	742.546955
0.428241	694.557888
0.449532	697.748153
0.471881	717.929348
0.495342	774.004391
0.519968	869.049500
0.545820	977.083458
0.572956	1061.579964
0.601441	1314.709932
0.631343	1845.324395
0.662731	2817.511897
0.695680	21405.609502
