# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.006287	0.186673
0.008829	0.134906
0.010720	0.000000
0.012400	1.618207
0.013664	0.221094
0.015056	0.000000
0.017415	0.020642
0.018281	0.257265
0.019190	0.362885
0.020144	0.000000
0.021146	0.000000
0.022197	0.407630
0.023300	0.000000
0.024459	1.876806
0.025675	0.413252
0.026951	0.520472
0.028291	0.199049
0.029698	0.462097
0.031174	0.586675
0.032724	0.444765
0.034351	0.214889
0.036059	0.595926
0.037852	0.168623
0.039733	0.408097
0.041709	0.382210
0.043782	0.541974
0.045959	0.363049
0.048244	0.468524
0.050643	0.711459
0.053160	0.346446
0.055803	0.534623
0.058578	0.354108
0.061490	0.571230
0.064547	0.473766
0.067756	0.310941
0.071125	0.436317
0.074661	0.454951
0.078373	0.483770
0.082269	0.465181
0.086359	0.386641
0.090653	0.490537
0.095160	0.430935
0.099891	0.476763
0.104857	0.495204
0.110070	0.436101
0.115543	0.430440
0.121287	0.417308
0.127317	0.398695
0.133647	0.375250
0.140291	0.380959
0.147266	0.390202
0.154588	0.383051
0.162273	0.333625
0.170341	0.375952
0.178810	0.341389
0.187699	0.318050
0.197031	0.315814
0.206827	0.294204
0.217110	0.279349
0.227904	0.286957
0.239234	0.254587
0.251128	0.264086
0.263613	0.244520
0.276719	0.242827
0.290477	0.228095
0.304919	0.225753
0.320078	0.216851
0.335991	0.211533
0.352696	0.215581
0.370231	0.217136
0.388637	0.225156
0.407959	0.240462
0.428241	0.261588
0.449532	0.302094
0.471881	0.361380
0.495342	0.449898
0.519968	0.581917
0.545820	0.803367
0.572956	1.150541
0.601441	1.766742
0.631343	3.105363
0.662731	5.503934
0.695680	17.188693
