# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.006287	-0.001964
0.008829	0.000623
0.012400	-0.008180
0.013664	-0.000610
0.017415	-0.017287
0.018281	-0.019029
0.019190	0.000788
0.022197	-0.013276
0.024459	-0.012611
0.025675	-0.026154
0.026951	-0.022092
0.028291	-0.023957
0.029698	-0.037108
0.031174	-0.033783
0.032724	-0.053014
0.034351	-0.089858
0.036059	-0.033464
0.037852	-0.068992
0.039733	-0.062425
0.041709	-0.043155
0.043782	-0.042761
0.045959	-0.064141
0.048244	-0.080543
0.050643	-0.071742
0.053160	-0.079045
0.055803	-0.113939
0.058578	-0.087647
0.061490	-0.105362
0.064547	-0.117845
0.067756	-0.106185
0.071125	-0.120808
0.074661	-0.143097
0.078373	-0.155396
0.082269	-0.171078
0.086359	-0.176086
0.090653	-0.187850
0.095160	-0.210657
0.099891	-0.214945
0.104857	-0.252084
0.110070	-0.259798
0.115543	-0.283847
0.121287	-0.288794
0.127317	-0.332109
0.133647	-0.354250
0.140291	-0.361487
0.147266	-0.386535
0.154588	-0.413105
0.162273	-0.444879
0.170341	-0.464362
0.178810	-0.491700
0.187699	-0.532905
0.197031	-0.543797
0.206827	-0.577286
0.217110	-0.598605
0.227904	-0.633824
0.239234	-0.664946
0.251128	-0.687841
0.263613	-0.721468
0.276719	-0.738571
0.290477	-0.761478
0.304919	-0.783234
0.320078	-0.806076
0.335991	-0.822707
0.352696	-0.837757
0.370231	-0.850169
0.388637	-0.865206
0.407959	-0.881870
0.428241	-0.902455
0.449532	-0.914953
0.471881	-0.925910
0.495342	-0.933162
0.519968	-0.939829
0.545820	-0.948290
0.572956	-0.958024
0.601441	-0.960085
0.631343	-0.961396
0.662731	-0.954165
0.695680	-0.885257
