# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.025059	2904.184952
0.034951	5339.014384
0.043030	2078.333328
0.048748	718.767285
0.055226	1605.014340
0.060016	1700.773993
0.067991	2423.887732
0.073889	2516.866992
0.077026	1578.991700
0.080297	1141.656809
0.083707	2550.436636
0.087262	3390.355474
0.090968	1557.119582
0.098858	768.169403
0.103056	1862.262975
0.107432	3016.698223
0.111994	1460.641198
0.116750	1134.375794
0.121708	1382.832721
0.126876	1368.633274
0.132264	1122.929126
0.137881	741.096905
0.143736	1292.038439
0.149840	1062.456978
0.156203	698.607699
0.162837	660.013271
0.169751	470.984375
0.176960	621.635450
0.184475	469.666351
0.192309	390.542082
0.200475	310.259086
0.208989	302.557239
0.217863	266.872497
0.227115	229.519219
0.236760	191.237490
0.246814	158.631376
0.257295	129.129661
0.268221	112.074148
0.279612	86.029170
0.291486	68.687011
0.303864	58.905974
0.316767	48.514694
0.330219	36.753054
0.344242	30.552853
0.358861	23.344107
0.374100	20.775602
0.389987	16.534353
0.406548	13.494143
0.423812	11.486430
0.441809	9.831622
0.460571	7.879424
0.480130	6.892390
0.500519	6.107439
0.521774	5.578379
0.543931	4.893844
0.567030	4.246098
0.591109	3.993531
0.616211	3.645796
0.642379	3.278825
0.669658	2.997128
0.698095	2.916344
0.727741	2.936113
0.758645	2.974001
0.790861	2.721382
0.824446	2.131129
0.859456	1.668870
0.895954	1.568796
0.934001	1.654402
0.973664	1.953585
1.015012	2.319137
1.058115	2.760912
1.103048	2.685152
1.149890	2.382097
1.198721	3.085022
1.249626	5.118263
1.302692	8.327290
1.358012	11.276824
