# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.025059	1569.350792
0.034951	3010.287427
0.043030	1223.093953
0.048748	426.000210
0.055226	999.661344
0.060016	1024.970779
0.067991	1548.450434
0.073889	1701.036659
0.077026	1093.853569
0.080297	844.844273
0.083707	1830.003874
0.087262	2486.358116
0.090968	1126.965559
0.098858	538.209538
0.103056	1444.634958
0.107432	2600.233426
0.111994	1276.245397
0.116750	1033.474596
0.121708	1331.927705
0.126876	1372.588059
0.132264	1194.939076
0.137881	869.118151
0.143736	1494.873407
0.149840	1336.331409
0.156203	915.284583
0.162837	955.536179
0.169751	752.101908
0.176960	1059.058858
0.184475	896.751478
0.192309	786.759822
0.200475	701.452396
0.208989	759.527177
0.217863	740.639754
0.227115	731.269607
0.236760	671.038509
0.246814	638.942104
0.257295	595.973133
0.268221	588.546120
0.279612	494.088573
0.291486	464.280283
0.303864	434.772375
0.316767	429.287279
0.330219	366.641576
0.344242	337.440929
0.358861	296.538611
0.374100	298.654061
0.389987	261.590324
0.406548	226.459314
0.423812	207.238034
0.441809	190.125921
0.460571	170.113229
0.480130	146.819510
0.500519	136.130751
0.521774	120.483929
0.543931	106.338546
0.567030	94.003890
0.591109	84.840087
0.616211	76.480640
0.642379	67.730566
0.669658	60.142022
0.698095	54.668470
0.727741	50.404573
0.758645	47.317094
0.790861	45.719225
0.824446	41.914946
0.859456	38.301667
0.895954	37.024165
0.934001	36.915388
0.973664	40.240299
1.015012	42.746621
1.058115	47.142593
1.103048	50.666465
1.149890	49.312767
1.198721	59.034424
1.249626	68.454360
1.302692	81.848232
1.358012	84.573693
