# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.006287	1070.326583
0.008829	777.392953
0.010720	0.000000
0.012400	9338.837941
0.013664	1283.036648
0.015056	0.000000
0.017415	117.662674
0.018281	1479.832637
0.019190	2113.278342
0.020144	0.000000
0.021146	0.000000
0.022197	2336.883555
0.023300	0.000000
0.024459	10802.451313
0.025675	2370.902432
0.026951	2980.116869
0.028291	1140.106973
0.029698	2610.026463
0.031174	3308.834862
0.032724	2487.897925
0.034351	1162.027176
0.036059	3370.242333
0.037852	988.080010
0.039733	2304.672936
0.041709	2196.572916
0.043782	3127.796835
0.045959	2057.711712
0.048244	2622.163988
0.050643	4049.339572
0.053160	1928.737473
0.055803	2960.631194
0.058578	1977.300447
0.061490	3213.970636
0.064547	2625.287903
0.067756	1766.321215
0.071125	2384.477302
0.074661	2474.916061
0.078373	2684.950309
0.082269	2527.403225
0.086359	2083.395116
0.090653	2641.729659
0.095160	2283.191816
0.099891	2567.525698
0.104857	2608.729516
0.110070	2257.300983
0.115543	2247.917018
0.121287	2158.286589
0.127317	2032.035755
0.133647	1873.749569
0.140291	1898.615825
0.147266	1921.633027
0.154588	1848.858697
0.162273	1576.107274
0.170341	1731.769325
0.178810	1545.496036
0.187699	1409.922917
0.197031	1368.815322
0.206827	1240.173705
0.217110	1139.254460
0.227904	1119.839493
0.239234	951.776497
0.251128	956.605539
0.263613	833.440627
0.276719	787.915757
0.290477	704.521620
0.304919	652.861355
0.320078	585.830509
0.335991	537.721820
0.352696	502.568004
0.370231	481.922091
0.388637	456.196552
0.407959	442.097492
0.428241	408.216623
0.449532	403.427838
0.471881	407.660790
0.495342	430.808409
0.519968	475.793720
0.545820	528.550610
0.572956	570.115816
0.601441	679.588970
0.631343	910.004195
0.662731	1394.195830
0.695680	19617.125169
