# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.006287	-0.142602
0.008829	-0.143645
0.012400	-0.142445
0.013664	-0.138930
0.017415	-0.164619
0.018281	-0.138264
0.019190	-0.130379
0.022197	-0.145522
0.024459	-0.146852
0.025675	-0.152317
0.026951	-0.146286
0.028291	-0.160373
0.029698	-0.167183
0.031174	-0.164203
0.032724	-0.168519
0.034351	-0.201866
0.036059	-0.160814
0.037852	-0.174079
0.039733	-0.187865
0.041709	-0.159702
0.043782	-0.147469
0.045959	-0.175494
0.048244	-0.181473
0.050643	-0.178961
0.053160	-0.201574
0.055803	-0.213417
0.058578	-0.200533
0.061490	-0.197747
0.064547	-0.215876
0.067756	-0.194044
0.071125	-0.223553
0.074661	-0.243253
0.078373	-0.238620
0.082269	-0.256225
0.086359	-0.255891
0.090653	-0.270580
0.095160	-0.280024
0.099891	-0.289000
0.104857	-0.316473
0.110070	-0.322854
0.115543	-0.338933
0.121287	-0.347745
0.127317	-0.383894
0.133647	-0.400261
0.140291	-0.406642
0.147266	-0.431286
0.154588	-0.454285
0.162273	-0.480546
0.170341	-0.504267
0.178810	-0.527423
0.187699	-0.561164
0.197031	-0.576930
0.206827	-0.610219
0.217110	-0.634926
0.227904	-0.670244
0.239234	-0.699006
0.251128	-0.727487
0.263613	-0.759843
0.276719	-0.783309
0.290477	-0.807371
0.304919	-0.831995
0.320078	-0.856446
0.335991	-0.874185
0.352696	-0.892659
0.370231	-0.905029
0.388637	-0.917894
0.407959	-0.929668
0.428241	-0.942670
0.449532	-0.950827
0.471881	-0.957929
0.495342	-0.962798
0.519968	-0.967057
0.545820	-0.972028
0.572956	-0.977457
0.601441	-0.979367
0.631343	-0.980963
0.662731	-0.977319
0.695680	-0.894844
