# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.006287	1248.818189
0.008829	900.966974
0.010720	0.000000
0.012400	10815.166438
0.013664	1487.274870
0.015056	0.000000
0.017415	128.503978
0.018281	1723.842374
0.019190	2433.930034
0.020144	0.000000
0.021146	0.000000
0.022197	2722.963856
0.023300	0.000000
0.024459	12539.991848
0.025675	2760.890474
0.026951	3498.328017
0.028291	1313.182195
0.029698	3034.496845
0.031174	3876.090026
0.032724	2901.088718
0.034351	1370.576451
0.036059	3912.577637
0.037852	1122.425904
0.039733	2622.980667
0.041709	2495.086677
0.043782	3590.316543
0.045959	2359.711711
0.048244	3055.425889
0.050643	4656.530731
0.053160	2216.301137
0.055803	3411.949574
0.058578	2263.679839
0.061490	3679.145705
0.064547	3005.167881
0.067756	2031.971526
0.071125	2749.550279
0.074661	2839.617527
0.078373	3054.899273
0.082269	2867.954793
0.086359	2392.358921
0.090653	2997.955640
0.095160	2601.968177
0.099891	2935.214688
0.104857	2984.443308
0.110070	2572.262795
0.115543	2507.439059
0.121287	2432.162440
0.127317	2290.988543
0.133647	2122.291787
0.140291	2158.000440
0.147266	2187.610849
0.154588	2107.760949
0.162273	1793.188536
0.170341	1995.224702
0.178810	1788.547600
0.187699	1611.450613
0.197031	1607.795862
0.206827	1458.147485
0.217110	1367.172036
0.227904	1349.399205
0.239234	1165.245201
0.251128	1202.004274
0.263613	1066.433460
0.276719	1044.976372
0.290477	963.204901
0.304919	917.848021
0.320078	861.565583
0.335991	815.846855
0.352696	807.590796
0.370231	800.398310
0.388637	782.668632
0.407959	780.721081
0.428241	746.468724
0.449532	761.730533
0.471881	786.224952
0.495342	860.013249
0.519968	960.721244
0.545820	1091.834970
0.572956	1203.078987
0.601441	1430.367451
0.631343	1990.672753
0.662731	3017.875186
0.695680	7069.458647
