# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.006287	0.000582
0.008829	-0.005915
0.012400	-0.005718
0.013664	-0.003883
0.017415	-0.051271
0.018281	0.002438
0.019190	0.000872
0.022197	-0.003169
0.024459	-0.008186
0.025675	-0.011225
0.026951	0.000151
0.028291	-0.023595
0.029698	-0.022264
0.031174	-0.013851
0.032724	-0.017879
0.034351	-0.034765
0.036059	-0.015445
0.037852	-0.055128
0.039733	-0.053695
0.041709	-0.032036
0.043782	-0.015370
0.045959	-0.038330
0.048244	-0.033273
0.050643	-0.041599
0.053160	-0.058311
0.055803	-0.067500
0.058578	-0.059613
0.061490	-0.058688
0.064547	-0.073684
0.067756	-0.057706
0.071125	-0.073383
0.074661	-0.095757
0.078373	-0.101820
0.082269	-0.114378
0.086359	-0.105664
0.090653	-0.128040
0.095160	-0.129015
0.099891	-0.145413
0.104857	-0.168532
0.110070	-0.170105
0.115543	-0.201647
0.121287	-0.203433
0.127317	-0.240850
0.133647	-0.252860
0.140291	-0.258679
0.147266	-0.282799
0.154588	-0.304522
0.162273	-0.331724
0.170341	-0.350326
0.178810	-0.373592
0.187699	-0.414964
0.197031	-0.422884
0.206827	-0.459723
0.217110	-0.482148
0.227904	-0.520057
0.239234	-0.549647
0.251128	-0.580356
0.263613	-0.616130
0.276719	-0.639421
0.290477	-0.667424
0.304919	-0.696973
0.320078	-0.727541
0.335991	-0.751671
0.352696	-0.774067
0.370231	-0.793105
0.388637	-0.811796
0.407959	-0.832285
0.428241	-0.853863
0.449532	-0.865987
0.471881	-0.876362
0.495342	-0.882810
0.519968	-0.888892
0.545820	-0.895854
0.572956	-0.906135
0.601441	-0.901609
0.631343	-0.893448
0.662731	-0.860117
0.695680	-0.997157
