# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.012617	0.033393
0.017597	0.043643
0.020782	0.065797
0.024544	0.083529
0.027422	0.095755
0.030639	0.053439
0.034232	0.148879
0.036184	0.163002
0.038247	0.115103
0.040428	0.138242
0.042733	0.062945
0.045170	0.135985
0.050467	0.083096
0.053345	0.085888
0.056387	0.118254
0.059602	0.128561
0.063000	0.114864
0.066592	0.079417
0.070389	0.128977
0.074403	0.155244
0.078645	0.112521
0.083129	0.140627
0.087869	0.102472
0.092879	0.145882
0.098175	0.115399
0.103773	0.114823
0.109689	0.101837
0.115944	0.100387
0.122555	0.099280
0.129542	0.094373
0.136929	0.086046
0.144736	0.088528
0.152989	0.083711
0.161712	0.076016
0.170932	0.077754
0.180678	0.071128
0.190980	0.070060
0.201870	0.063252
0.213380	0.059257
0.225546	0.054390
0.238407	0.049055
0.252000	0.044830
0.266369	0.041676
0.281556	0.037040
0.297610	0.033141
0.314579	0.029432
0.332516	0.025497
0.351476	0.022449
0.371516	0.019411
0.392699	0.016393
0.415090	0.013978
0.438758	0.011793
0.463775	0.009624
0.490218	0.007777
0.518170	0.006293
0.547715	0.004962
0.578944	0.003907
0.611954	0.002968
0.646847	0.002257
0.683729	0.001694
0.722714	0.001244
0.763921	0.000916
0.807479	0.000675
0.853520	0.000496
0.902186	0.000369
0.953626	0.000280
1.008000	0.000218
1.065475	0.000174
1.126226	0.000143
1.190441	0.000120
1.258318	0.000105
1.330064	0.000095
1.405902	0.000090
1.486064	0.000088
1.570796	0.000088
1.660360	0.000069
1.755031	0.000057
1.855099	0.000053
1.960873	0.000057
2.072678	0.000068
2.190858	0.000084
2.315777	0.000109
2.447818	0.000161
2.587387	0.000258
2.734915	0.000415
