# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.012617	0.068907
0.017597	0.139387
0.020782	0.117316
0.024544	0.066556
0.027422	0.083541
0.030639	0.081268
0.034232	0.185669
0.036184	0.115429
0.038247	0.134164
0.040428	0.092257
0.042733	0.079919
0.045170	0.099059
0.050467	0.096815
0.053345	0.127068
0.056387	0.100332
0.059602	0.071913
0.063000	0.126348
0.066592	0.104420
0.070389	0.104268
0.074403	0.114799
0.078645	0.127627
0.083129	0.119611
0.087869	0.096572
0.092879	0.120574
0.098175	0.112768
0.103773	0.108784
0.109689	0.100544
0.115944	0.113078
0.122555	0.110090
0.129542	0.094084
0.136929	0.101579
0.144736	0.095117
0.152989	0.094564
0.161712	0.093524
0.170932	0.091257
0.180678	0.084083
0.190980	0.085469
0.201870	0.078141
0.213380	0.075708
0.225546	0.073850
0.238407	0.068387
0.252000	0.062413
0.266369	0.059966
0.281556	0.055464
0.297610	0.053171
0.314579	0.050025
0.332516	0.047502
0.351476	0.044708
0.371516	0.040707
0.392699	0.038306
0.415090	0.035554
0.438758	0.033095
0.463775	0.030396
0.490218	0.028001
0.518170	0.025861
0.547715	0.023955
0.578944	0.021940
0.611954	0.020257
0.646847	0.018458
0.683729	0.016961
0.722714	0.015603
0.763921	0.014443
0.807479	0.013326
0.853520	0.012374
0.902186	0.011361
0.953626	0.010591
1.008000	0.009839
1.065475	0.009173
1.126226	0.008577
1.190441	0.008137
1.258318	0.007717
1.330064	0.007485
1.405902	0.007333
1.486064	0.007366
1.570796	0.007529
1.660360	0.007472
1.755031	0.007669
1.855099	0.008296
1.960873	0.009499
2.072678	0.011490
2.190858	0.014397
2.315777	0.018258
2.447818	0.026695
2.587387	0.044064
2.734915	0.071247
