# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.012617	0.058777
0.017597	0.091698
0.020782	0.069913
0.024544	0.051630
0.027422	0.101340
0.030639	0.076843
0.034232	0.075049
0.036184	0.159073
0.038247	0.165507
0.040428	0.084095
0.042733	0.038368
0.045170	0.119476
0.050467	0.100764
0.053345	0.098948
0.056387	0.119614
0.059602	0.104014
0.063000	0.108553
0.066592	0.153574
0.070389	0.146935
0.074403	0.111632
0.078645	0.112250
0.083129	0.119535
0.087869	0.102061
0.092879	0.113960
0.098175	0.110033
0.103773	0.101267
0.109689	0.098874
0.115944	0.105391
0.122555	0.095251
0.129542	0.096197
0.136929	0.090393
0.144736	0.087227
0.152989	0.080858
0.161712	0.080427
0.170932	0.074959
0.180678	0.069703
0.190980	0.063954
0.201870	0.058408
0.213380	0.056937
0.225546	0.050099
0.238407	0.046529
0.252000	0.043835
0.266369	0.039047
0.281556	0.035219
0.297610	0.030516
0.314579	0.026530
0.332516	0.023360
0.351476	0.020890
0.371516	0.017483
0.392699	0.014960
0.415090	0.012286
0.438758	0.010247
0.463775	0.008238
0.490218	0.006552
0.518170	0.005102
0.547715	0.003965
0.578944	0.003033
0.611954	0.002273
0.646847	0.001683
0.683729	0.001229
0.722714	0.000899
0.763921	0.000642
0.807479	0.000464
0.853520	0.000339
0.902186	0.000253
0.953626	0.000193
1.008000	0.000152
1.065475	0.000123
1.126226	0.000104
1.190441	0.000090
1.258318	0.000080
1.330064	0.000073
1.405902	0.000069
1.486064	0.000069
1.570796	0.000070
1.660360	0.000056
1.755031	0.000047
1.855099	0.000045
1.960873	0.000049
2.072678	0.000059
2.190858	0.000073
2.315777	0.000095
2.447818	0.000141
2.587387	0.000225
2.734915	0.000361
