# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.050467	4.494646
0.070389	4.603013
0.083129	2.103635
0.098175	0.943212
0.109689	4.822765
0.122555	3.108360
0.136929	2.434374
0.144736	3.407945
0.152989	3.573391
0.161712	3.091985
0.170932	1.273301
0.180678	2.862212
0.201870	2.766628
0.213380	2.883712
0.225546	2.529859
0.238407	1.224267
0.252000	2.427660
0.266369	1.927937
0.281556	1.803937
0.297610	1.628860
0.314579	2.069021
0.332516	1.568559
0.351476	1.767946
0.371516	1.469130
0.392699	1.440465
0.415090	1.391723
0.438758	1.254230
0.463775	1.137828
0.490218	1.081593
0.518170	0.970077
0.547715	0.899397
0.578944	0.865557
0.611954	0.787469
0.646847	0.730299
0.683729	0.618486
0.722714	0.565182
0.763921	0.523050
0.807479	0.471582
0.853520	0.379267
0.902186	0.349818
0.953626	0.321102
1.008000	0.274724
1.065475	0.235329
1.126226	0.203349
1.190441	0.170716
1.258318	0.144410
1.330064	0.121983
1.405902	0.099065
1.486064	0.081015
1.570796	0.065410
1.660360	0.050640
1.755031	0.039684
1.855099	0.030199
1.960873	0.022614
2.072678	0.016762
2.190858	0.011829
2.315777	0.008270
2.447818	0.005523
2.587387	0.003573
2.734915	0.002249
2.890855	0.001330
3.055686	0.000759
3.229915	0.000413
3.414078	0.000210
3.608742	0.000101
3.814506	0.000045
4.032001	0.000018
4.261898	0.000007
4.504903	0.000002
4.761764	0.000001
5.033270	0.000000
5.320258	0.000000
5.623608	0.000000
5.944256	0.000000
6.283185	0.000000
6.641440	0.000000
7.020122	0.000000
7.420396	0.000000
7.843492	0.000000
8.290713	0.000000
8.763433	0.000000
9.263107	0.000000
9.791271	0.000000
10.349550	0.000000
10.939661	0.000000
