# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.006330	0.557696
0.008647	0.371773
0.010427	0.763653
0.012573	0.874238
0.013383	1.264572
0.015161	1.959194
0.017176	1.736149
0.018281	1.595908
0.019458	2.028680
0.020710	1.703925
0.022043	1.021706
0.023462	2.565481
0.024973	1.688396
0.026580	1.737000
0.028291	1.808808
0.030112	2.099101
0.032051	2.534870
0.034114	2.191444
0.036310	2.545019
0.038647	2.864689
0.041135	2.523068
0.043782	3.165571
0.046601	2.696481
0.049600	3.103393
0.052793	3.915409
0.056192	3.281384
0.059809	3.289864
0.063658	3.229046
0.067756	3.198023
0.072118	3.387031
0.076760	3.612055
0.081701	3.480158
0.086960	3.431898
0.092558	3.508006
0.098516	3.439884
0.104857	3.574590
0.111607	3.449324
0.118791	3.412360
0.126437	3.415758
0.134576	3.279733
0.143239	3.278733
0.152459	3.214216
0.162273	3.131067
0.172719	2.963196
0.183837	2.881496
0.195670	2.818076
0.208266	2.663002
0.221672	2.592322
0.235941	2.419504
0.251128	2.342983
0.267293	2.226336
0.284499	2.074012
0.302812	1.956191
0.322304	1.832708
0.343051	1.717868
0.365134	1.588228
0.388637	1.487762
0.413654	1.371396
0.440281	1.261187
0.468622	1.159952
0.498787	1.060821
0.530894	0.968871
0.565068	0.883092
0.601441	0.795171
0.640156	0.720438
0.681363	0.648573
0.725223	0.583151
0.771905	0.521160
0.821593	0.465680
0.874479	0.414837
0.930770	0.368526
0.990684	0.327141
1.054454	0.290157
1.122329	0.257758
1.194574	0.229574
1.271469	0.205523
1.353314	0.186316
1.440427	0.172879
1.533147	0.166498
1.631836	0.150119
1.736878	0.132100
1.848681	0.124875
1.967681	0.127969
2.094341	0.142647
2.229154	0.157027
2.372645	0.183855
2.525372	0.269307
2.687931	0.426220
