# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.006330	0.557707
0.008647	0.371791
0.010427	0.763737
0.012573	0.874336
0.013383	1.264674
0.015161	1.959426
0.017176	1.736526
0.018281	1.596251
0.019458	2.029200
0.020710	1.704188
0.022043	1.021876
0.023462	2.566199
0.024973	1.688852
0.026580	1.737451
0.028291	1.809656
0.030112	2.100140
0.032051	2.536177
0.034114	2.192279
0.036310	2.546454
0.038647	2.866858
0.041135	2.525275
0.043782	3.168202
0.046601	2.699129
0.049600	3.107056
0.052793	3.920905
0.056192	3.286478
0.059809	3.296042
0.063658	3.235560
0.067756	3.205127
0.072118	3.395427
0.076760	3.622419
0.081701	3.491958
0.086960	3.444604
0.092558	3.522976
0.098516	3.456217
0.104857	3.593787
0.111607	3.470037
0.118791	3.435921
0.126437	3.442481
0.134576	3.308751
0.143239	3.311321
0.152459	3.250659
0.162273	3.171086
0.172719	3.006126
0.183837	2.928599
0.195670	2.870746
0.208266	2.718851
0.221672	2.654083
0.235941	2.484928
0.251128	2.414575
0.267293	2.303422
0.284499	2.155087
0.302812	2.042925
0.322304	1.925171
0.343051	1.815826
0.365134	1.690485
0.388637	1.596587
0.413654	1.485080
0.440281	1.379870
0.468622	1.283542
0.498787	1.189138
0.530894	1.101908
0.565068	1.020955
0.601441	0.936172
0.640156	0.865673
0.681363	0.797345
0.725223	0.735434
0.771905	0.676256
0.821593	0.623760
0.874479	0.575642
0.930770	0.531782
0.990684	0.492963
1.054454	0.458713
1.122329	0.429465
1.194574	0.405159
1.271469	0.385837
1.353314	0.373217
1.440427	0.369468
1.533147	0.377324
1.631836	0.373233
1.736878	0.372871
1.848681	0.398988
1.967681	0.459459
2.094341	0.570487
2.229154	0.708330
2.372645	0.946549
2.525372	1.532726
2.687931	2.657459
