# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.012573	225.994016
0.017658	200.129522
0.021441	166.578268
0.024800	521.008670
0.027327	731.133748
0.030112	431.847996
0.034831	547.705825
0.036562	659.170959
0.038380	808.108969
0.040288	412.298036
0.042291	778.803919
0.044394	616.496887
0.046601	742.043552
0.048918	1103.423826
0.051350	737.083732
0.053903	539.387723
0.056582	953.193844
0.059395	987.530508
0.062348	723.147324
0.065448	692.914013
0.068702	609.555658
0.072118	695.066544
0.075703	658.114487
0.079467	810.342427
0.083418	520.124834
0.087565	605.735941
0.091918	691.170957
0.096488	602.859042
0.101285	741.230155
0.106321	639.285160
0.111607	596.818335
0.117155	532.307777
0.122980	603.397979
0.129094	647.288302
0.135512	537.952499
0.142250	543.682235
0.149322	562.279471
0.156746	525.424879
0.164538	479.665884
0.172719	453.637997
0.181306	472.560183
0.190320	454.379890
0.199782	425.388875
0.209714	403.815843
0.220140	392.891783
0.231085	358.635835
0.242574	358.757170
0.254634	323.086004
0.267293	306.789768
0.280582	285.244848
0.294532	268.374492
0.309175	243.144217
0.324546	231.590735
0.340682	214.659900
0.357619	199.792396
0.375399	188.970198
0.394062	169.934249
0.413654	157.034318
0.434219	142.936883
0.455807	129.647944
0.478469	119.212827
0.502256	108.783965
0.527227	97.100437
0.553439	88.598649
0.580954	79.673662
0.609837	72.570733
0.640156	67.047436
0.671983	61.897566
0.705392	57.391192
0.740461	54.735178
0.777275	53.193343
0.815918	48.169570
0.856483	43.347584
0.899064	41.215760
0.943763	40.779421
0.990684	42.585386
1.039937	46.546533
1.091639	50.724905
1.145912	50.148876
1.202883	59.201989
1.262686	77.752719
1.325463	112.185870
1.391360	0.102889
