# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.012573	58.049008
0.017658	51.615498
0.021441	42.690882
0.024800	134.387237
0.027327	188.590022
0.030112	111.324217
0.034831	141.694287
0.036562	170.607040
0.038380	209.064980
0.040288	106.871128
0.042291	202.333789
0.044394	159.486909
0.046601	192.167143
0.048918	283.639912
0.051350	191.388048
0.053903	140.506707
0.056582	247.704831
0.059395	258.768968
0.062348	188.618840
0.065448	181.640805
0.068702	158.297700
0.072118	180.735131
0.075703	170.737550
0.079467	212.455824
0.083418	136.735740
0.087565	159.344506
0.091918	181.485236
0.096488	160.167165
0.101285	196.436031
0.106321	170.786083
0.111607	160.089475
0.117155	143.332118
0.122980	162.872029
0.129094	175.852977
0.135512	146.627294
0.142250	149.407962
0.149322	155.551824
0.156746	146.288113
0.164538	133.441293
0.172719	128.096452
0.181306	134.718683
0.190320	131.068670
0.199782	123.007333
0.209714	118.770149
0.220140	116.769871
0.231085	108.544596
0.242574	110.203556
0.254634	100.716433
0.267293	97.411224
0.280582	92.145692
0.294532	88.858214
0.309175	82.818173
0.324546	80.753693
0.340682	77.185668
0.357619	74.388477
0.375399	72.689916
0.394062	68.222574
0.413654	65.740263
0.434219	62.487353
0.455807	60.030315
0.478469	57.949841
0.502256	56.667161
0.527227	53.950289
0.553439	53.360587
0.580954	51.879325
0.609837	51.236847
0.640156	51.850285
0.671983	52.035753
0.705392	52.682213
0.740461	54.722131
0.777275	57.480131
0.815918	58.940259
0.856483	61.545833
0.899064	66.773813
0.943763	75.010050
0.990684	88.019686
1.039937	106.667773
1.091639	131.966166
1.145912	155.428745
1.202883	207.234945
1.262686	308.351587
1.325463	450.917986
1.391360	545.802880
