# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.003143	0.000008
0.004415	0.000020
0.005360	0.000026
0.006200	0.000096
0.006832	0.000120
0.007528	0.000137
0.008708	0.000251
0.009141	0.000182
0.009595	0.000559
0.010072	4.755353
0.010573	2.224230
0.011098	3.914945
0.011650	4.574550
0.012229	2.329975
0.012837	3.794325
0.013476	4.336020
0.014146	5.625997
0.014849	4.826458
0.015587	5.482010
0.016362	6.643965
0.017176	5.730517
0.018029	5.461399
0.018926	5.007506
0.019867	4.929150
0.020854	6.873327
0.021891	6.350328
0.022980	6.854044
0.024122	6.970700
0.025321	7.697620
0.026580	6.985165
0.027902	8.099232
0.029289	7.962450
0.030745	8.098778
0.032274	8.101080
0.033878	7.897473
0.035562	7.905294
0.037330	8.081241
0.039186	6.726939
0.041135	0.092475
0.043180	0.105782
0.045326	0.115263
0.047580	0.128759
0.049945	0.146733
0.052429	0.139411
0.055035	0.134132
0.057771	0.133605
0.060643	0.111043
0.063658	0.096727
0.066823	0.070965
0.070146	0.051826
0.073633	0.030521
0.077294	0.016955
0.081137	0.014412
0.085170	0.014543
0.089405	0.014005
0.093850	0.013980
0.098516	0.012976
0.103413	0.012586
0.108555	0.011211
0.113952	0.010089
0.119617	0.008619
0.125564	0.007469
0.131807	0.006680
0.138360	0.006071
0.145239	0.005679
0.152459	0.005181
0.160039	0.004873
0.167996	0.004636
0.176348	0.004509
0.185115	0.004480
0.194319	0.004596
0.203980	0.003545
0.214121	0.002580
0.224766	0.002120
0.235941	0.001938
0.247671	0.001960
0.259984	0.002112
0.272910	0.002261
0.286478	0.002312
0.300721	0.002704
0.315672	0.003786
0.331366	0.005827
0.347840	0.000908
