# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.010072	-0.013901
0.010573	-0.023722
0.011098	-0.014621
0.011650	-0.011653
0.012229	-0.048316
0.012837	-0.012024
0.013476	-0.014382
0.014146	-0.021731
0.014849	-0.019869
0.015587	-0.018858
0.016362	-0.028419
0.017176	-0.020879
0.018029	-0.023548
0.018926	-0.038743
0.019867	-0.015711
0.020854	-0.040039
0.021891	-0.035558
0.022980	-0.041484
0.024122	-0.035592
0.025321	-0.043014
0.026580	-0.050379
0.027902	-0.053742
0.029289	-0.047630
0.030745	-0.055662
0.032274	-0.068306
0.033878	-0.074860
0.035562	-0.077953
0.037330	-0.078275
0.039186	-0.093794
