# This file contains power spectrum P(k) in units [(Mpc/h)^3] depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	P(k) [(Mpc/h)^3]
0.003165	6.723676
0.004324	5.374692
0.005214	5.286541
0.006287	7.566316
0.006691	6.242085
0.007580	5.549190
0.008588	2.901931
0.009141	5.365158
0.009729	13.754524
0.010355	7.138394
0.011022	14.999425
0.011731	7.322125
0.012486	15.052884
0.013290	9.758235
0.014146	13.622515
0.015056	14.749011
0.016025	15.688484
0.017057	15.076384
0.018155	15.596067
0.019323	16.103723
0.020567	21.530643
0.021891	18.569483
0.023300	20.131230
0.024800	18.517660
0.026397	19.466448
0.028096	21.778005
0.029904	20.747535
0.031829	21.463732
0.033878	23.002267
0.036059	24.018825
0.038380	25.305418
0.040850	24.522423
0.043480	24.701795
0.046279	25.896105
0.049258	25.820542
0.052429	25.459225
0.055803	25.755790
0.059395	26.967454
0.063219	25.902224
0.067288	25.904782
0.071619	25.658134
0.076230	25.883169
0.081137	24.953454
0.086359	25.754296
0.091918	24.853271
0.097835	24.405869
0.104133	23.850678
0.110836	22.945062
0.117970	22.253191
0.125564	21.346623
0.133647	20.827949
0.142250	19.472903
0.151406	18.610544
0.161152	17.703579
0.171526	16.740466
0.182567	15.590079
0.194319	14.639138
0.206827	13.686339
0.220140	12.723321
0.234311	11.731364
0.249394	10.858642
0.265447	9.938802
0.282534	9.082556
0.300721	8.282679
0.320078	7.503282
0.340682	6.804639
0.362611	6.155410
0.385953	5.529059
0.410797	4.976365
0.437240	4.449750
0.465385	3.984155
0.495342	3.553928
0.527227	3.168812
0.561165	2.831346
0.597287	2.549008
0.635734	2.315768
0.676657	2.138273
0.720213	2.035492
0.766574	2.020767
0.815918	1.901866
0.868439	1.795970
0.924340	1.814049
0.983840	1.955356
1.047170	2.231902
1.114577	2.485831
1.186322	2.883985
1.262686	3.949904
1.343966	5.942862
