# This file contains relative difference between power spectrum P(k) and lineary extrapolated power spectrum depending on wavenumber k in units [h/Mpc].
# k [h/Mpc]	(P(k, z)-P_ZA(k, z))/P_ZA(k, z)
0.003165	0.000070
0.004324	0.000053
0.005214	-0.000513
0.006287	-0.000085
0.006691	-0.000245
0.007580	-0.000540
0.008588	0.001331
0.009141	-0.002756
0.009729	0.001096
0.010355	-0.000053
0.011022	-0.000440
0.011731	-0.000243
0.012486	-0.000775
0.013290	-0.000782
0.014146	-0.001068
0.015056	-0.000668
0.016025	-0.001221
0.017057	-0.001388
0.018155	-0.002615
0.019323	-0.001115
0.020567	-0.000783
0.021891	-0.001659
0.023300	-0.003123
0.024800	-0.002237
0.026397	-0.002623
0.028096	-0.004372
0.029904	-0.004274
0.031829	-0.005279
0.033878	-0.005188
0.036059	-0.006070
0.038380	-0.007026
0.040850	-0.008186
0.043480	-0.009761
0.046279	-0.010865
0.049258	-0.012207
0.052429	-0.014762
0.055803	-0.015902
0.059395	-0.017017
0.063219	-0.020392
0.067288	-0.022321
0.071619	-0.025515
0.076230	-0.028275
0.081137	-0.031082
0.086359	-0.034816
0.091918	-0.041285
0.097835	-0.042989
0.104133	-0.049508
0.110836	-0.057124
0.117970	-0.062411
0.125564	-0.069237
0.133647	-0.077833
0.142250	-0.087158
0.151406	-0.097665
0.161152	-0.109128
0.171526	-0.120529
0.182567	-0.134769
0.194319	-0.149109
0.206827	-0.163893
0.220140	-0.180118
0.234311	-0.200381
0.249394	-0.217604
0.265447	-0.240358
0.282534	-0.262863
0.300721	-0.287328
0.320078	-0.314770
0.340682	-0.341369
0.362611	-0.369522
0.385953	-0.400632
0.410797	-0.431542
0.437240	-0.466366
0.465385	-0.500380
0.495342	-0.537127
0.527227	-0.574638
0.561165	-0.612601
0.597287	-0.650276
0.635734	-0.688081
0.676657	-0.723272
0.720213	-0.755082
0.766574	-0.780782
0.815918	-0.813698
0.868439	-0.844723
0.924340	-0.866123
0.983840	-0.880517
1.047170	-0.891219
1.114577	-0.907351
1.186322	-0.921491
1.262686	-0.922340
1.343966	-0.915769
