# This file contains positions of particles in units [Mpc/h].
# x [Mpc/h]	z [Mpc/h]
100.155741	99.943267
100.468780	99.829234
100.781819	99.715200


100.223072	199.881762
100.671446	199.644104
101.119820	199.406446


99.984137	300.270994
99.952251	300.815692
99.920366	301.360389


100.251420	399.777212
100.756775	399.329408
101.262129	398.881604


200.205980	99.783418
200.619999	99.348089
201.034019	98.912760


199.772503	200.124796
199.315234	200.375637
198.857966	200.626477


200.068503	300.298394
200.206193	300.898167
200.343883	301.497939


199.817151	400.028258
199.449625	400.085057
199.082099	400.141855


300.116885	99.783440
300.351823	99.348155
300.586761	98.912869


300.116698	199.900323
300.351262	199.699972
300.585825	199.499622


300.175696	300.075320
300.528846	300.226712
300.881996	300.378105


300.155897	399.860351
300.469251	399.579657
300.782604	399.298963


400.149811	100.034369
400.450930	100.103450
400.752050	100.172531


400.284066	200.151821
400.855038	200.456982
401.426010	200.762142


400.108849	300.154694
400.327635	300.465630
400.546422	300.776566


400.133752	399.808931
400.402593	399.424881
400.671433	399.040831


